zh,eng,opus-mt,mbart50,m2m,opus-mt-sim,mbart50-sim,m2m-sim
肺动脉瓣区舒张期杂音,pulmonary area diastolic murmur,Pulmonary pulmonary pulmonary hymn.,Pulmonary Pulmonary Valve Discharge Synthesis,The pulmonary arthritis is sounding.,0.792818717,0.753387842,0.631099354
格雷汉-斯蒂尔杂音,Graham·Steell murmur,Graham-Still murmuring,Graham–Steel hybrid,The Graham-Style noise,0.487755709,0.041248888,0.205145477
乔塞罗征,Josseraud sign,José Rousseau.,Josero Conquest,The JOSEROSE,0.016900514,0.088560102,0.407074604
金属样杂音,metallic murmur,Metal Momentum,Metal-like noise,Metal noise.,0.388083929,0.475574701,0.505623641
柴瑞网征,Chiari network sign,The Cherie Net.,Shiri Tennis Championships,Cherry networking.,0.239042539,0.10956637,0.404248772
柯尔-赛谢尔杂音,Cole-Cecil murmur,Cole-Sesser murmuring,Cole–Sasher hybrid,The Col-Cascher noise,0.811683769,0.428144399,0.356926111
心肺杂音,cardiopulmonic murmr,Heart pulmonary murmuring.,Pulmonary noise,Heart and Lung Noise,0,0,0
胸膜粘连性杂音,murmur of pleural adhesions,The plethoracic murmuring.,Chest membrane adhesive noise,Breast clinging noise,0.354728341,0.518345945,0.459725613
心外喀喇音,extracardiac click sound,The voice of the heart.,Outside of the Heart,The heart of laws.,0.561869284,0.429239983,0.451693743
心包摩擦音,pericardial friction sound,A heart rubbing sound.,Pulmonary friction,The heartbreaking sound.,0.533617932,0.733591987,0.432953332
胸膜心包摩擦音,pleuro pericardial rub,The plethoracic ecclesiastical rubbing sound.,Chest membrane heartbeat,Breast cardiac sound.,0.325637968,0.510422771,0.390657947
纵隔嗄扎音,mediastinal crunch,Line up the sound of the clairvoyant.,Long-range bass noise,Around the sound.,0.080124953,0.11047548,0.094617735
纵隔伊扎音,mediastinum crunch,Intersect Ezae.,Isotone of longitude,Distance from Isaac.,0.154922122,0.077016578,0.07894516
海曼征,Hamman sign,Helmán.,Haiman Conquest,The Hyman Journey,0.06064212,0.105539011,0.167247764
胸骨嘎吱声,sternal crunch,The chest is creaking.,Chestbone creaking,The breasts sound.,0.264060725,0.2792118,0.203604303
剑突嘎吱声,xiphoid process crunch,Swords creaking.,Sword whisper,The Sword Sweat.,0.240506739,0.160871815,0.301338285
颈动脉搏动增强,carotid arterial pulsation increase,The carotid artery has increased.,Increased neck pulse,Increased arthritis of the neck.,0.782291671,0.634517167,0.465253755
颈动脉搏动减弱或消失,carotid arterial pulsation decrease or disappearance,Carotid arteries weakened or disappeared,Reduction or disappearance of neck pulse,The arthritis of the neck is weakened or disappeared.,0.825915994,0.710659931,0.521336001
阿列克谢夫征,Alekseew sign,Alexev.,Battle of Aleksev,Alekseev's journey,0.271527146,0.323852402,0.330050136
正性颈静脉搏动,negative jugular venous pulse,Genuine carotid veins.,Positive neck pulsation,Positive throat arthritis.,0.681689577,0.671747613,0.509345694
室性颈静脉搏动,beat of jugular venae of ventricular,Family carotid veins.,Mural neck pulsation,Room shoulder arthritis,0.619695781,0.450843787,0.359606731
负性颈静脉搏动,negative carotid venous impulse,Negative carotid veins.,Negative neck pulsation,Negative throat arthritis.,0.851922671,0.680674082,0.547849586
生理性颈静脉搏动,physiologic jugular venous pulse,Physiological carotid veins.,Physiological neck pulsation,Physical throat arthritis.,0.803279524,0.725826587,0.391818097
上腹部收缩期搏动,epigastric region systolic pulsation,The upper abdominal constriction beats.,Upper abdominal contraction,The upper stomach crushing period.,0.571208335,0.62778265,0.36473318
上腹部舒张期搏动,epigastric region diastolic pulsation,The upper tummy shrugs.,Upper abdomen spasm,The upper stomach struggles.,0.264642772,0.565700595,0.308441382
扩张性搏动,expansile pulsation,Enlarged vibes.,Expansive pulsation,Expanded sexual struggle,0.225689157,0.775332409,0.084965693
肝脏扩张性搏动,hepatic expansile pulsation,Hepatic expansional arrhythmia.,Hepatic expansive pulsation,Hepatic expansion of sexual activity.,0.741424821,0.897293768,0.494525432
肝脏收缩期搏动,hepatic systolic pulsation,Hepatic constriction.,Pulmonary hemorrhage,The liver crashes.,0.741082719,0.685212432,0.307500913
膈肌收缩,diaphragm contraction,I've got a contraction in my muscles.,Diaphragm contraction,The muscle cuts.,0.398245709,1.000000021,0.411948553
心外血管性杂音,extra-cardiac vascular murmur,Endovascular murmuring.,Outer-vascular noise,Infrared noise.,0.330909332,0.736597573,0.364068605
支气管动脉扩张音,bronchial artery expanding sound,The bronchial artery sprawl.,Pulmonary expansion of bronchial artery,Arthritis expansion sound.,0.850943575,0.884967958,0.645448921
乳房杂音,mammary gland murmur,Breast murmuring.,Breast noise,The breast noise.,0.548507972,0.511646205,0.415018395
乳房血管嗡嗡音,breast vessel bruit,Breast vascular buzzing.,Breast-vascular humming,Breast blood vessels.,0.655674619,0.629121266,0.759676651
眼球杂音,eyeball murmur,Eye murmuring.,Eyeball noise,The eye noise.,0.614744258,0.680828771,0.41640478
锁骨上动脉杂音,supraclavicular arterial murmur,The arteries on the collarbone.,Pulmonary noise on lockbone,Arterial noise on the lock.,0.422896461,0.592518463,0.465953814
颈部动脉杂音,arterial murmur in cervical part,The carotid artery murmuring.,Neck artery noise,artery noise in the neck.,0.795970649,0.720119999,0.745937987
颈动脉收缩期杂音,carotid arterial systolic murmur,Cervical artery constriction murmuring.,Noise during contraction of cervical artery,Noise in the neck artery.,0.775350734,0.6554222,0.513750992
颈静脉营营声,jugular venous hum,Nervous camp.,Neck vein battalion,The throat venous camp.,0.184813823,0.513105782,0.585208757
左上腹血管杂音,left upper abdomen vessel murmur,Left upper abdominal resonance.,Upper left ventricular noise,Upper left blood vessel noise.,0.818063557,0.757351297,0.830421495
肝区动脉杂音,liver area arterial murmur,Hepatic arteries.,Hepatic artery noise,Arterial noise in the area.,0.798755303,0.825208409,0.70106461
肝静脉杂音,liver venous murmur,Hepatic vibe.,Hepatic vein noise,Hepatic and viral noise,0.567368623,0.784808523,0.645430201
克-鲍综合征杂音,Cruveihiev-Baumgarten murmur,C-B-B-S-S-S-S-S-S-S.,C–B syndrome,K-Bo syndrome of noise,0.459257381,0.21229142,0.426085536
脐周静脉营营声,periumbilical venous hum,The umbilical panther of the umbilical camp.,Umbilical cord hysteresis,The Venus Camp.,0.372926855,0.522525291,0.189743042
脊肋角血管杂音,costospinal angle vessel murmur,Ribbon anorexic dysentery.,Spinal angiovascular noise,Spinal blood vessel noise.,0.281950309,0.501051461,0.700618199
动脉瘤杂音,aneurysmal murmur,Aneurysm murmuring.,Pulmonary noise,Arthritis noise.,0.613126935,0.469402263,0.344808736
布郎罕姆试验,Branham test,The Brownham experiment.,Brahmin experiment,The Brahman Experiment,0.140095308,0.213223359,0.185934018
布郎罕姆征,Branham sign,Brownhammer.,Brahmin Conquest,Browning Hamm,0.014341852,0.148700476,0.178009577
周围血管征,peripheral vascular sign,Pericular vascular signs,Peripheral vascular syndrome,The Blood Circle.,0.888445443,0.876201557,0.537201287
德-廖塞征,De Musset sign,De Léssé.,De-Lio Seung,by De-Louis,0.810870444,0.524259005,0.694166689
谢利征,Shelley sign,Shelley.,Shelley syndrome,Sherlock Holmes,0.709312133,0.603352071,0.337843665
毛细血管搏动征,capillary pulsation sign,Fought-vascular arrhythmia.,Microvascular pulse syndrome,Blood struggle.,0.384438215,0.495860029,0.371142036
昆克脉搏,Quincke pulse,Queen's pulse.,Quink pulse,The Quink Pulse.,0.574420455,0.999999988,0.751986985
动脉枪击音,arterial pistol shot sound,Arteries.,Pulmonary gunshot,Arthritis shooting.,0.527060687,0.549381548,0.591169355
杜若兹埃双重杂音,Duroziez dicrotic murmur,Duroze's double voice.,Dujazié double chords,Duo’s double noise,0.149900324,0.117529897,0.125354856
杜氏征,Duroziez sign,Doo-joo.,Du clan expedition,The Duchy,0.177824566,0.113435794,0.180494871
特劳贝征,Traube sign,Traubé.,Trobe Conquest,Traveling to Traveling,0.271527146,-0.073925497,0.347786247
蓝多耳菲征,Landolfi sign,The Landorpheus.,Blue Dolphin syndrome,The Blue Dolphin,0.417037509,0.307641511,0.379018074
博佐洛征,Bozzolo sign,Bozolouse.,Battle of Bozolos,The Bozolo,0.271527146,0.323852402,0.407074604
巴季斯通征,Batiston sign,Batiatus marches.,Battle of Bastianston,The Baptist journey.,0.223791444,0.323852402,0.384391307
萨巴提征,Sabathie sign,Sabatism.,Battle of Sabati,The sabotage,0.271527146,0.323852402,0.288646988
肝-颈静脉回流征,hepatojugular reflux sign,Hepatic-circle vein reflux,Hepatic - cervical vein recurrent syndrome,Hepatitis - throat venous refluks,0.683949224,0.545022158,0.53390032
库斯毛耳征,Kussmaul sign,The Kusturbs.,Cossamer syndrome,Cushion earns.,0.417037509,0.183427008,0.256438257
奥尔特涅尔征,Ortner sign,Ortneur.,Battle of Altner,The Orthodox journey,0.271527146,0.323852402,0.332343528
伯恩海姆综合征,Bernheim syndrome,Bernheim syndrome,Burnham syndrome,The Burnhem Syndrome.,1,0.716892302,0.771442268
罗顿白综合征,Lutembacher syndrome,Lawton White Syndrome,Rottenberry syndrome,The Rotten White Syndrome,0.692557665,1.000000024,0.641737294
比森贝格征,Biesenberger sign,Bisonberg.,Battle of Bisenberg,by Bisenberg.,0.271527146,0.323852402,0.303853265
平斯征,Pins sign,Pines.,Battle of Pings,The Pins,0.225911719,0.323604991,0.805952015
尤尔特征,Ewart sign,Yul Characteristics,Euler characteristics,Yellow characteristics,0.074277308,0.125503227,0.051943617
伊沃特征,Ewart sign,Ivo Features,Ivory Coast features,The Ivo characteristics.,0.06956109,0.003899335,0.077423446
心包积气征,sign of pneumopericardium,Heart-breathing.,Cardiac obstruction syndrome,The heart of air.,0.46959324,0.284526526,0.706932812
Oliver征,Oliver sign,Oliver.,Oliver's War,The Oliver,0.683496504,0.621303238,0.74180505
风湿性小结,rheumatic nodule,Rheumatism knots,Humidity junction,The humidity.,0.491192131,0.161714405,0.040071563
路根征,Louckyn sign,Logan.,Logan expedition,The Logan Journey,0.194664265,0.07271171,0.324525456
罗特斑,Roth spots,Rottbourne.,Rott's Spot,by Rothschild,0.105089055,0.423426827,0.219743748
奥斯勒结节,Osler nodes,Osler Lumps.,Oslo Festival,The Oscars.,0.663479514,0.030134894,-0.04113173
奥氏结节,Osler nodes,Austral Lumpy.,O'Connor's Fever,Orthodox ends.,0.128482861,0.126810478,-0.006042718
詹韦病变,Jeneway lesion,Janway's sick.,Geneva disease,Jane was sick.,0.042464791,0.336030328,0.062429049
詹韦斑,Janeway spots,#NAME?,James Webb's spot,by Jeanne,0.136448981,0.318530507,0.130968832
威廉斯综合征,Willams syndrome,Williams syndrome.,Williams syndrome,The Williams Syndrome.,0.678525826,0.783308559,0.58725253
肢端红痛症,acrodynic erythema,Hemorrhage on the limbs.,Lymph arthritis,Red end pain.,0.201712647,0.451368959,0.127678863
巴贝斯征,Babes sign,The Barbesian Expedition.,Battle of Babbass,The Barbarian Journey,0.302078216,0.340301455,0.335489266
动脉搏动,arterial pulse,An arteries.,Pulmonary activity,Arthritis moves.,0.551761132,0.604987335,0.318585951
脉搏,pulse,Pulse.,Pulse,The pulse.,0.839144907,0.999999988,0.751986921
脉率,pulse rate,Pulse,Pulse rate,The pulse,0.832701742,0.999999935,0.784076967
速脉,acceleration of pulse frequent,Arteries,Velocity,The speed pulse,0.312057034,0.602392908,0.841278597
缓脉,deceleration of pulse frequent,Bubbles.,Causeway,The pulse.,0.348388664,0.022112138,0.73408266
沙皮罗征,Schapiro sign,Sapirois.,Shapiro Campaign,The Sapphire,0.271527146,0.200847252,0.256970113
哈夏氏“脉”征,Huchard pulse sign,Hasha's Pulse.,"Hasha's ""脉"" expedition",Mr. Hachar’s “pulse”,0.720460871,0.255084122,0.578273178
脉律,pulse rhythm,Pulse,Pulmonary law,The Pulse,0.856317208,0.290166479,0.790807795
赫-洛二征,Hernig-Lommel sign,H-L-D.,Battle of Her-Lo,The H-Low II,0.555937833,0.510249613,0.505533045
不整脉,irregular pulse,Not the whole thing.,Pulmonary dysplasia,Untold pulse.,0.266344085,0.332471215,0.621671966
不规则脉,irregular pulse,It's an irregular vein.,Irregular veins,The irregular pulse.,0.566865129,0.750215251,0.865449472
二联脉,bigemina,Two arteries.,Bipolar vein,Two arthritis,0,0,0
三联脉,trigeminy,Triple arteries.,Triangulation,Three arthritis,0,0,0
四联脉,quadrigeminy,Four arteries.,Four ligaments,Four arthritis,0,0,0
脉搏短绌,miosphygmia,Pulse deficit.,Pulmonary shortpox,The pulse short.,0,0,0
短绌脉,deficient pulse,Short print.,Short-throat artery,The short pulse.,0.209936614,0.408731234,0.578094546
间歇脉,intermittent pulse,Intermittent,Intermittent artery,The intersection,0.821451533,0.705011278,0.235312975
脱落脉,dropped pulse,Drop the artery.,Decay of the artery,The arthritis.,0.550763965,0.466598565,0.349868667
洪脉,"full pulse,bounding pulse",Hung Pulse,Floods,The flood,0.772446626,0.16963077,0.385174558
细脉,pulsus parvus,The artery.,Pulmonary artery,The pulse.,-0.105033567,0.086076142,-0.14253298
水冲脉,water-hammer pulse,Pulse.,Pulse of water,The water pulse,0.69834965,0.811827145,0.823905301
跳脉,skipping pulse,The pulse.,Jumping veins,The pulse.,0.68350926,0.50211951,0.68350926
陷落脉,collapsing pulse,Falling artery.,Falling veins,falling arthritis.,0.529161472,0.564839929,0.404880917
Corrigan脉,Corrigan pulse,Corrigan's pulse.,Corrigan River,The Corrigan,0.772824311,0.563042968,0.688558991
交替脉,pulsus alternans,Alternating arteries,Interstitial vein,The pulse replacement.,0,0,0
奇脉,paradoxical pulse,♪ Stranger artery ♪,Miracle pulse,The Strange,0.248362342,0.729219675,0.393500846
格-库征,Griesinger-Kussmaul sign,G-Current,G-Cose,The G-Course,0.529446182,0.340610178,0.555141174
库斯毛耳脉,Kussmaul pulse,Coos mooline.,Muscular veins,Cucumber ear,0.13374659,0.344394941,0.31943751
单搏脉,monocrotic pulse,Single pulse.,Single pulse,Single pulse,0.738317565,0.830914487,0.830914487
重搏脉,dicrotic pulse,Gravity pulse.,Pulmonary artery,Heavy pulse,0.745790588,0.333322112,0.817014751
双峰脉,pulse bisferiens,Twin Peaks.,Twin Peaks,The Twin Peak,0.295435609,0.293273553,0.361245147
二搏脉,dicrotic pulse,Two pulses.,Pulmonary artery,two pulses.,0.665789921,0.333322112,0.665789921
双波脉,pulsus bisferiens,Two-wave pulses.,Double-wave veins,Two waves.,0,0,0
三搏脉,tricrotism,Three pulses.,Three Pulse,Three pulses.,0,0,0
多搏脉,polycrotic pulse,Multiple pulses.,Pulmonary artery,Multiple pulse,0.688016065,0.333322112,0.831641287
迟脉,pulse tardus,Late artery.,Late artery,The Late,0.28512536,0.289627975,0.184284215
平脉,even pulse,Pulse,Plains,the pulse.,0.858790359,0.16192947,0.846397425
脉搏消失,disappearance of pulse,The pulse's gone.,Pulse Loss,The pulse is gone.,0.695709657,0.72666866,0.700620412
无脉,pulseless,No pulse.,Bloodless,No pulse,0.01629727,0.369040222,0.111737942
无脉症,pulseless disease,No pulse.,Pulmonary disease,without pulse.,0.251028888,0.744971157,0.253581452
血压,"blood pressure,BP",Blood pressure.,Blood pressure,Blood pressure,0.868959235,0.880965648,0.880965648
动脉血压,arterial blood pressure,Arterial pressure.,Arterial blood pressure,arterial blood pressure.,0.906064219,1.000000057,0.968742891
血压计,sphygmomanometer,Sphygmomanometer.,Blood pressure meter,Blood Pressure,-0.115892577,0.279844165,0.239726215
动态血压监测,ambulatory blood pressure monitoring,Dynamic blood pressure monitoring,Dynamic blood pressure monitoring,Dynamic Blood Pressure Monitoring,0.900422553,0.900422553,0.900422553
收缩期血压,"systolic blood pressure,SBP",B.P. during contraction.,Contractional blood pressure,Reduction of blood pressure.,0.507009623,0.839165822,0.726627829
舒张期血压,"diastolic blood pressure,DBP",Stretch period blood pressure.,Exhaustive blood pressure,Blood pressure time.,0.652167771,0.743594846,0.69764926
正常血压,normal blood pressure,Normal blood pressure.,Normal blood pressure,Normal blood pressure.,0.966806216,0.99999998,0.966806216
平均动脉压,mean arterial pressure,Average arterial pressure,Average arterial pressure,The average arterial pressure.,0.921195357,0.921195357,0.879231649
脉压,pulse pressure,Pulse,Pulmonary pressure,The pulse,0.862138235,0.718984191,0.810398772
脉压增大,increased pulse pressure,Pulse's increasing.,Pulmonary hypertension,The pulse increases.,0.812575763,0.504205597,0.841259762
脉压减小,decreased pulse pressure,Pulse reduction.,Pulmonary reduction,Reduced pulse.,0.80446431,0.631864339,0.844688126
两臂血压不等,difference in blood pressure between arms,The blood pressure on both arms isn't the same.,Blood pressure in both arms is different,Blood pressure in both arms.,0.886784305,0.948668102,0.940456058
Hill征,Hill sign,Hilling.,Hill expedition,The Hill,0.161608295,0.640895704,0.819536104
勒文伯格征,Lowenberg sign,Levenberger.,Levenberg expedition,The Levinberg journey.,0.271527146,0.069385598,0.396318601
上肢血压高于下肢血压,higher blood pressure in upper extremities than in lower extremities,Upper limb blood pressure is higher than lower limb blood pressure.,Upper limb blood pressure higher than lower limb blood pressure,Blood pressure is higher than lower blood pressure.,0.930083128,0.931415588,0.880527394
赫策耳征,Hertzel sign,The Hercellor.,Herschel syndrome,Hertz’s ear.,0.417037509,0.114841232,0.311753869
坤宁哈姆血管加压神经征,Cunningham vasopressor sign,Quinningham blood vessels pressurized neurosis.,Kunningham vascular hypertension syndrome,Chongqing blood vessels stress nerve signals,0.179846349,0.170385479,0.21720873
博恩征,Bohn sign,Bourne.,Bourne expedition,The Bournemouth,0.163666819,0.203732906,0.155658317
谢-斯现象,Schellong-Strisower phenomenon,Scheffer phenomenon,Shays phenomenon,The Sh-S phenomenon,0.747941928,0.339198407,0.703689467
血压节律性变异,aberrant regularity of blood pressure,Blood pressure aberrations.,Hypertensive arrhythmia,Rhythmic changes in blood pressure.,0.836359023,0.444741591,0.818434428
血压无规律变化,aberrant irregularity of blood pressure,The blood pressure has changed irregularly.,Fluctuations in blood pressure,Unregular changes in blood pressure.,0.758592603,0.830501993,0.775098682
冷加压试验,cold pressor test,Cold pressure test.,Cold-pressure test,Cold pressure testing.,0.746004892,0.711628054,0.726102764
升压试验,pressor test,Elevator pressure test.,Pressure test,The pressure test.,0.495600662,0.631645082,0.492248736
减压试验,decompression test,Depressive test.,Pressure reduction test,The pressure test.,0.578565894,0.67586046,0.617344751
血压升高,hypertension,Blood pressure is rising.,Hypertension,High blood pressure.,0.466016912,0.999999975,0.500262307
白大衣性高血压,white coat hypertension,White coat with high blood pressure.,White-collar hypertension,High blood pressure white clothes.,0.802448705,0.840844171,0.745549178
医院内高血压,in-hospital hypertension,High blood pressure in the hospital.,Hypertension in hospitals,High blood pressure at the hospital.,0.769399312,0.880535433,0.738829737
高血压,hypertension,High blood pressure.,Hypertension,High blood pressure.,0.500262307,0.999999975,0.500262307
原发性高血压,primary hypertension,Prototyphoid hypertension.,Primary hypertension,Primary high blood pressure.,0.801888323,0.99999997,0.695352676
原发性高血压的分级,grading of primary hypertension,The grade of primary hypertension.,Grades of primary hypertension,Primary level of high blood pressure.,0.879559008,0.932599027,0.74734692
一级高血压,first stage hypertension,First-degree hypertension.,Level 1 hypertension,level of high blood pressure.,0.723452186,0.709370737,0.645617768
二级高血压,second stage hypertension,Second-degree hypertension.,Grade II hypertension,Secondary high blood pressure.,0.731855449,0.650358771,0.674070705
三级高血压,third stage hypertension,"High blood pressure, level three.",Level 3 hypertension,High blood pressure 3.,0.652688145,0.72361402,0.609989204
高血压的分类,classification of hypertension,Classification of hypertension,Categories of hypertension,High Blood Pressure Classification,1.000000033,0.894889658,0.753033157
临界高血压,borderline hypertension,Critical hypertension.,Critical hypertension,Critical high blood pressure.,0.714679453,0.789770423,0.502576361
体位性高血压,orthostatic hypertension,Body high blood pressure.,Physiological hypertension,High Blood Pressure,0.360746617,0.799187106,0.442805303
高血压的分期,stages of hypertension,High blood pressure phase.,Periods of high blood pressure,period of high blood pressure.,0.699291052,0.734811415,0.707177323
高血压性视网膜病变分级,hypertensive retinal arteroles grading,Hydraulic retinal pathologies are downgraded.,Grade of hypertensive retinal disease,High blood pressure retinal disease classification,0.616932484,0.848183927,0.67985493
原发性高血压危险度,risk of primary hypertension,Prototyping hypertensive blood pressure hazard.,Risk of primary hypertension,Primary high blood pressure risk.,0.759094023,1.000000097,0.849630841
高血压危象,hypertensive crisis,High blood pressure.,Hypertension risk,High blood pressure risk.,0.424645652,0.70313705,0.501863647
高血压危象的分型,types of hypertensive crisis,High blood pressure at risk.,Types of high blood pressure risk,High blood pressure risk.,0.650579545,0.771456652,0.673912769
恶性高血压,malignant hypertension,Malignant hypertension.,Malignant hypertension,Male High Blood Pressure,0.942210281,0.999999941,0.497612738
急进型高血压的分型,types of accelerated hypertension,The specs of the acute type of hypertensive pressure.,Types of Acute Hypertension,Acute High Blood Pressure,0.80411169,0.904142996,0.739248383
缓进型高血压,benign hypertension,Slow blood pressure.,Intermittent hypertension,slowly high blood pressure.,0.480614272,0.788084853,0.452702143
良性高血压,benign hypertension,Good blood pressure.,Positive hypertension,Good high blood pressure.,0.463521372,0.80138527,0.44417626
顽固性高血压,refractory hypertension,Intransigent hypertension.,Instable hypertension,Persistent high blood pressure.,0.704863297,0.842340803,0.520585347
继发性高血压,secondary hypertension,Followed by hypertensive blood pressure.,Recurrent hypertension,Successive high blood pressure,0.648404231,0.826088515,0.592690296
症状性高血压,symptomatic hypertension,Symptoms of hypertension.,Symptomatic hypertension,Symptoms of high blood pressure.,0.788602322,0.999999921,0.580498129
心血管性高血压,cardiovascular hypertension,Cardiovascular hypertension,Cardiovascular hypertension,cardiovascular high blood pressure,0.999999953,0.999999953,0.767442624
青年型高血压,juvenile hypertension,Youth type hypertension,Youth-type hypertension,Youth High Blood Pressure,0.746986593,0.656682583,0.526848653
老年人高血压,senile hypertension,High blood pressure among the elderly,Hypertension in the elderly,High blood pressure in the elderly.,0.465478119,0.66451096,0.422286542
收缩期高血压,systolic hypertension,High blood pressure during contraction,Hypertension during contraction,High Blood Pressure Period,0.531848534,0.72988258,0.490474382
低血压,hypotension,Low blood pressure.,Low blood pressure,Low blood pressure.,0.346055845,0.39170826,0.346055845
原发性低血压,primary hypotension,It's a primary low blood pressure.,Primary hypotension,Primary low blood pressure.,0.495814578,0.999999967,0.590383434
生理性低血压,physiological hypotension,Physically low blood pressure.,Physiological hypotension,Physical low blood pressure.,0.468098988,1.000000055,0.509583945
体质性低血压,constitutional hypotension,Physically low blood pressure.,Physical hypotension,Physical low blood pressure.,0.376975529,0.733271959,0.397752456
继发性低血压,secondary hypotension,He's having a subsequent low blood pressure.,Recurrent low blood pressure,Successive low blood pressure,0.406640445,0.610016583,0.512694262
病理性低血压,pathologic hypotension,Morbidity is low blood pressure.,Pathological hypotension,pathological low blood pressure.,0.43568927,0.937825822,0.492751195
症状性低血压,symptomatic hypotension,Symptoms of low blood pressure.,Symptomatic hypotension,Symptoms of low blood pressure,0.485101313,1.000000009,0.526577026
低血压状态,hypotensive state,Low blood pressure.,Low blood pressure,Low blood pressure.,0.385578042,0.408971203,0.385578042
体位性低血压,postural hypotension,Body low blood pressure.,Physiological hypotension,Low Blood Pressure,0.342692545,0.868977009,0.386727284
直立性低血压,orthostatic hypotension,Protectual hypotensive.,Rectangular hypotension,Direct low blood pressure.,0.585133139,0.753382978,0.261368271
平卧位性低血压,supine hypotension,He's got low blood pressure.,Horizontal hypotension,Low blood pressure.,0.195682884,0.772685838,0.351084474
高原血压异常,blood pressure abnormity of high altitude,Plateau blood pressure is abnormal.,Hypertension abnormality,High blood pressure is unusual.,0.864398284,0.485737281,0.889905839
高原性高血压,high altitude hypertension,Plateau high blood pressure.,Hypergenic hypertension,High blood pressure.,0.765174493,0.730295952,0.715023133
高原性低血压,high altitude hypotension,Plasma low blood pressure.,Hypergenic hypotension,Low blood pressure.,0.635930517,0.698310369,0.629042348
乏塞乏动作,Valsalva maneuver,I don't know what I'm talking about.,Silent motion,Lack of movement.,-0.010139382,0.221070883,0.070229937
屈膝运动试验,genuflex exercise test,Bend your knees.,knee knee exercise test,Knee exercise test.,0.469056982,0.755449665,0.865143993
呼吸中止法,respiration stop test,Respiratory interruptions,Respiratory discontinuation,The respiratory stop.,0.522691495,0.497470504,0.727986545
立位负荷试验,erect position tolerance test,Stand-in load test,Load load test,Position load test.,0.695580849,0.613071624,0.772581496
站立试验,standing test,Stand-up Test,Standing test,Standing the test.,0.80266435,1.000000031,0.897315584
直立倾斜试验,head upright tilt testing,A straight tilt test.,Rectangular Inclination Test,The straight sliding test.,0.795476224,0.655570333,0.742951121
摇头试验,swaying head test,Shake your head.,Rotation test,The head test.,0.699972499,0.596030335,0.785740388
颈动脉窦反射试验,carotid sinus reflected testing,Cerebrothal reflective test.,Test of neck artery sinus reflection,The neck artery reflection test.,0.504466181,0.876174072,0.750391504
Hussey握拳试验,Hussey make a fist test,Hussey's boxing test.,Hussey shake test,Hussey holds the test.,0.75990167,0.777940685,0.806353647
硝酸甘油含服试验,nitroglycerin sublingually test,Nitrate glycerine clothing test,Testing of Adsorption of Sugar Nitrates,Testing of nitric acid.,0.514363174,0.38808403,0.414764969
饮酒诱发变异型心绞痛试验,drinking induced variant angina pectoris test,Drunk-induced mutated heartache test.,Induced heterogeneous angina by drinking alcohol,Drinking alcohol causes a varied heart pain test,0.584079701,0.817388544,0.682886578
低血氧试验,low blood oxygen test,Low blood oxygen test.,Low Blood Oxygen Test,Low blood oxygen testing,0.97768994,0.999999925,0.98463693
三磷酸腺苷试验,"adenosine triphosphate test,ATP-T",Triphosphate gland test,Triphosphate adenosine test,Three Phosphoric Tests,0.468967371,0.816132781,0.460778436
麦角新碱试验,ergonovine test,New base test for wheat corner.,New alkaline test of corn angle,Testing of new alkali.,0.599131448,0.622527856,0.634485281
氯丙嗪试验,chlorpromazinum test,The chlorpromium test.,Testing of Chloroacetate,Chlorine Testing,0.7900577,0.764753079,0.659288862
西地兰试验,cedilanid test,The Westerland experiment.,Tests in West Germany,The Western Test,0.51094441,0.596061453,0.692524175
酚妥拉明激发试验,phentolamine provocative test,The porcelain excites the experiment.,Phenol妥ramin excitation test,Pinephrine stimulates the experiment.,0.328239535,0.496156874,0.385547467
亚硝酸异戊酯激发试验,isoamyl nitrite provocative test,Isopent nitrites trigger the test.,Experimental excitation of isopentate nitrate,Nitrates stimulate the test.,0.556085321,0.528320361,0.548522513
升压胺类药物激发试验,excitative test of sympathomimetic amines,L-L-L-L-L-L-L-L-L-L-L-L-L-L.,Trial of stimulation of antihypertensive amines,Drugs stimulate testing.,-0.023446628,0.755650788,0.525245359
心肺运动试验,cardiopulmonary exercise test,Cardiopulmonary activity test,Cardiac and pulmonary movement tests,Heart and Lung Movement Test,0.901568757,0.749316942,0.651047179
静脉压测定,measurement of venous pressure,I.V.P.,Pulmonary pressure determination,Vary pressure measurement.,0,0.837815493,0.800385565
中心静脉压测定,measurement of central venous pressure,Central I.V.,Central Pulmonary Pressure Determination,Central Vary Pressure Measurement,0.511951526,0.885122734,0.882619728
循环时间测定,circulation time determination,Cycle time measurement,Circulation time determination,Cycle time measurement,0.717990647,0.999999951,0.717990647
臂至舌循环时间,arm-tongue circulation time,Arms to tongue cycle time,Arm to tongue cycle time,Time cycle of the tongue.,0.834470414,0.85715569,0.756695055
臂至肺循环时间,arm-lung circulation time,Arm-to-pulmonary cycling time,Arm to Lung Circulation Time,Arms to lung cycle time.,0.843138768,0.938196554,0.825625936
肺至舌循环时间,lung-tongue circulition time,Pulmonary to tongue cycle time,Lung to tongue circulation time,Lung to tongue cycle time,0.823983126,0.858915053,0.863137623
臂至面循环时间,arm-face circulation time,Arms-to-face loop time,Arm-to-face cycle time,Arms to face cycle time.,0.862514245,0.892105881,0.837034804
